"sum_stat" "condition" "response" "model" "len"
"296" "fast_mean" 50 "lower" "normal" 513
"297" "fast_mean" 50 "lower" "t" 511
"298" "fast_mean" 50 "upper" "independent" 478
"299" "fast_mean" 50 "upper" "normal" 497
"300" "fast_mean" 50 "upper" "t" 501
"301" "fast_mean" 51 "lower" "independent" 483
"302" "fast_mean" 51 "lower" "normal" 528
"303" "fast_mean" 51 "lower" "t" 526
"304" "fast_mean" 51 "upper" "independent" 443
"305" "fast_mean" 51 "upper" "normal" 464
"306" "fast_mean" 51 "upper" "t" 466
"307" "fast_mean" 52 "lower" "independent" 488
"308" "fast_mean" 52 "lower" "normal" 547
"309" "fast_mean" 52 "lower" "t" 541
"310" "fast_mean" 52 "upper" "independent" 418
"311" "fast_mean" 52 "upper" "normal" 433
"312" "fast_mean" 52 "upper" "t" 431
"313" "fast_mean" 53 "lower" "independent" 494
"314" "fast_mean" 53 "lower" "normal" 561
"315" "fast_mean" 53 "lower" "t" 548
"316" "fast_mean" 53 "upper" "independent" 381
"317" "fast_mean" 53 "upper" "normal" 395
"318" "fast_mean" 53 "upper" "t" 393
"319" "fast_mean" 54 "lower" "independent" 492
"320" "fast_mean" 54 "lower" "normal" 569
"321" "fast_mean" 54 "lower" "t" 554
"322" "fast_mean" 54 "upper" "independent" 346
"323" "fast_mean" 54 "upper" "normal" 354
"324" "fast_mean" 54 "upper" "t" 353
"325" "fast_mean" 55 "lower" "independent" 33
"326" "fast_mean" 55 "lower" "normal" 34
"327" "fast_mean" 55 "lower" "t" 34
"328" "fast_mean" 55 "upper" "independent" 39
"329" "fast_mean" 55 "upper" "normal" 40
"330" "fast_mean" 55 "upper" "t" 40
"331" "fast_mean" 56 "lower" "independent" 33
"332" "fast_mean" 56 "lower" "normal" 33
"333" "fast_mean" 56 "lower" "t" 33
"334" "fast_mean" 56 "upper" "independent" 38
"335" "fast_mean" 56 "upper" "normal" 39
"336" "fast_mean" 56 "upper" "t" 39
"337" "fast_mean" 57 "lower" "independent" 31
"338" "fast_mean" 57 "lower" "normal" 32
"339" "fast_mean" 57 "lower" "t" 32
"340" "fast_mean" 57 "upper" "independent" 37
"341" "fast_mean" 57 "upper" "normal" 37
"342" "fast_mean" 57 "upper" "t" 37
"343" "fast_mean" 58 "lower" "independent" 30
"344" "fast_mean" 58 "lower" "normal" 31
"345" "fast_mean" 58 "lower" "t" 31
"346" "fast_mean" 58 "upper" "independent" 35
"347" "fast_mean" 58 "upper" "normal" 35
"348" "fast_mean" 58 "upper" "t" 35
"349" "fast_mean" 59 "lower" "independent" 28
"350" "fast_mean" 59 "lower" "normal" 29
"351" "fast_mean" 59 "lower" "t" 28
"352" "fast_mean" 59 "upper" "independent" 32
"353" "fast_mean" 59 "upper" "normal" 33
"354" "fast_mean" 59 "upper" "t" 33
"355" "fast_mean" 60 "lower" "independent" 24
"356" "fast_mean" 60 "lower" "normal" 25
"357" "fast_mean" 60 "lower" "t" 25
"358" "fast_mean" 60 "upper" "independent" 29
"359" "fast_mean" 60 "upper" "normal" 29
"360" "fast_mean" 60 "upper" "t" 29
"361" "fast_mean" 61 "lower" "independent" 458
"362" "fast_mean" 61 "lower" "normal" 519
"363" "fast_mean" 61 "lower" "t" 518
"364" "fast_mean" 61 "upper" "independent" 498
"365" "fast_mean" 61 "upper" "normal" 545
"366" "fast_mean" 61 "upper" "t" 543
"367" "fast_mean" 62 "lower" "independent" 472
"368" "fast_mean" 62 "lower" "normal" 544
"369" "fast_mean" 62 "lower" "t" 539
"370" "fast_mean" 62 "upper" "independent" 478
"371" "fast_mean" 62 "upper" "normal" 515
"372" "fast_mean" 62 "upper" "t" 516
"373" "fast_mean" 63 "lower" "independent" 483
"374" "fast_mean" 63 "lower" "normal" 566
"375" "fast_mean" 63 "lower" "t" 563
"376" "fast_mean" 63 "upper" "independent" 443
"377" "fast_mean" 63 "upper" "normal" 479
"378" "fast_mean" 63 "upper" "t" 478
"379" "fast_mean" 64 "lower" "independent" 488
"380" "fast_mean" 64 "lower" "normal" 586
"381" "fast_mean" 64 "lower" "t" 578
"382" "fast_mean" 64 "upper" "independent" 418
"383" "fast_mean" 64 "upper" "normal" 443
"384" "fast_mean" 64 "upper" "t" 443
"385" "fast_mean" 65 "lower" "independent" 494
"386" "fast_mean" 65 "lower" "normal" 604
"387" "fast_mean" 65 "lower" "t" 591
"388" "fast_mean" 65 "upper" "independent" 381
"389" "fast_mean" 65 "upper" "normal" 404
"390" "fast_mean" 65 "upper" "t" 404
"391" "fast_mean" 66 "lower" "independent" 492
"392" "fast_mean" 66 "lower" "normal" 610
"393" "fast_mean" 66 "lower" "t" 611
"394" "fast_mean" 66 "upper" "independent" 346
"395" "fast_mean" 66 "upper" "normal" 362
"396" "fast_mean" 66 "upper" "t" 359
"397" "fast_mean" 67 "lower" "independent" 33
"398" "fast_mean" 67 "lower" "normal" 35
"399" "fast_mean" 67 "lower" "t" 35
"400" "fast_mean" 67 "upper" "independent" 39
"401" "fast_mean" 67 "upper" "normal" 40
"402" "fast_mean" 67 "upper" "t" 40
"403" "fast_mean" 68 "lower" "independent" 33
"404" "fast_mean" 68 "lower" "normal" 34
"405" "fast_mean" 68 "lower" "t" 34
"406" "fast_mean" 68 "upper" "independent" 38
"407" "fast_mean" 68 "upper" "normal" 39
"408" "fast_mean" 68 "upper" "t" 39
"409" "fast_mean" 69 "lower" "independent" 31
"410" "fast_mean" 69 "lower" "normal" 33
"411" "fast_mean" 69 "lower" "t" 33
"412" "fast_mean" 69 "upper" "independent" 37
"413" "fast_mean" 69 "upper" "normal" 38
"414" "fast_mean" 69 "upper" "t" 38
"415" "fast_mean" 70 "lower" "independent" 30
"416" "fast_mean" 70 "lower" "normal" 32
"417" "fast_mean" 70 "lower" "t" 31
"418" "fast_mean" 70 "upper" "independent" 35
"419" "fast_mean" 70 "upper" "normal" 36
"420" "fast_mean" 70 "upper" "t" 36
"421" "fast_mean" 71 "lower" "independent" 28
"422" "fast_mean" 71 "lower" "normal" 29
"423" "fast_mean" 71 "lower" "t" 29
"424" "fast_mean" 71 "upper" "independent" 32
"425" "fast_mean" 71 "upper" "normal" 33
"426" "fast_mean" 71 "upper" "t" 33
"427" "fast_mean" 72 "lower" "independent" 24
"428" "fast_mean" 72 "lower" "normal" 26
"429" "fast_mean" 72 "lower" "t" 26
"430" "fast_mean" 72 "upper" "independent" 29
"431" "fast_mean" 72 "upper" "normal" 30
"432" "fast_mean" 72 "upper" "t" 30
"433" "middle_mean" 1 "lower" "independent" 1011
"434" "middle_mean" 1 "lower" "normal" 1012
"435" "middle_mean" 1 "lower" "t" 1007
"436" "middle_mean" 1 "upper" "independent" 1028
"437" "middle_mean" 1 "upper" "normal" 1030
"438" "middle_mean" 1 "upper" "t" 1030
"439" "middle_mean" 2 "lower" "independent" 1045
"440" "middle_mean" 2 "lower" "normal" 1044
"441" "middle_mean" 2 "lower" "t" 1050
"442" "middle_mean" 2 "upper" "independent" 976
"443" "middle_mean" 2 "upper" "normal" 974
"444" "middle_mean" 2 "upper" "t" 979
"445" "middle_mean" 3 "lower" "independent" 1079
"446" "middle_mean" 3 "lower" "normal" 1067
"447" "middle_mean" 3 "lower" "t" 1086
"448" "middle_mean" 3 "upper" "independent" 906
"449" "middle_mean" 3 "upper" "normal" 914
"450" "middle_mean" 3 "upper" "t" 908
"451" "middle_mean" 4 "lower" "independent" 1097
"452" "middle_mean" 4 "lower" "normal" 1079
"453" "middle_mean" 4 "lower" "t" 1101
"454" "middle_mean" 4 "upper" "independent" 840
"455" "middle_mean" 4 "upper" "normal" 841
"456" "middle_mean" 4 "upper" "t" 841
"457" "middle_mean" 5 "lower" "independent" 1096
"458" "middle_mean" 5 "lower" "normal" 1092
"459" "middle_mean" 5 "lower" "t" 1098
"460" "middle_mean" 5 "upper" "independent" 758
